1,3,5,8,9,14,17,19,20,21,22,lat,lon,Time
e,s,t,c,b,s,w,p,n,n,g,-87.0546,107.3789,6:49:31 AM
e,y,t,c,b,y,w,p,k,y,p,-8.0729,87.8232,8:43:03 AM
e,y,t,c,b,s,w,p,k,n,m,27.3311,112.5917,6:09:46 AM
e,f,f,c,n,s,w,p,n,v,u,25.968,-37.3081,3:04:31 PM
e,y,t,c,b,y,w,p,k,y,p,-45.0044,104.2598,10:44:10 AM
e,y,t,c,b,s,w,p,k,n,g,19.302,-78.3724,10:41:52 AM
e,f,f,w,b,f,w,e,k,s,g,70.1881,-103.9283,8:35:03 AM
e,f,f,w,b,f,w,e,n,a,g,-77.8465,-53.1707,6:58:16 AM
e,y,t,c,b,s,w,p,n,n,m,-79.6594,141.4116,12:55:36 PM
e,s,t,c,b,s,w,p,k,n,g,32.565,39.9537,12:35:08 PM
e,y,t,c,b,s,w,p,k,n,m,-21.295,-112.2106,10:02:43 AM
e,y,t,c,b,s,w,p,n,s,g,79.1719,-88.6703,8:36:49 AM
e,s,f,w,b,s,w,e,n,a,g,76.2859,-155.3389,11:09:30 AM
e,y,t,c,b,s,w,p,n,s,g,69.5552,-91.4576,5:15:46 PM
e,f,f,c,n,s,w,p,k,v,u,-44.1516,112.3604,2:55:32 PM
e,s,t,w,n,s,w,p,u,v,d,57.8272,-123.6815,5:17:09 PM
e,y,t,c,b,y,w,p,k,s,g,-60.096,-16.0166,1:39:05 PM
e,y,t,c,b,s,w,p,n,n,g,40.2688,84.1507,3:04:11 PM
e,y,t,c,b,s,w,p,n,n,g,79.1397,-113.0213,2:03:37 PM
e,y,t,c,b,s,w,p,k,s,m,-38.0565,-41.2438,8:17:49 AM
e,s,t,c,b,s,w,p,k,s,g,-77.4214,-133.2261,8:21:41 AM
e,s,t,c,b,s,w,p,k,s,m,-84.3896,124.0334,1:16:14 PM
e,y,t,c,b,s,w,p,k,n,g,56.4548,-86.3413,1:39:53 PM
e,f,f,c,n,s,w,p,n,y,u,-12.2481,-32.6132,7:59:28 AM
e,y,t,c,b,y,w,p,n,y,g,75.8757,-10.5335,9:41:53 AM
e,y,t,c,b,s,w,p,n,s,g,56.8007,54.2037,1:10:42 PM
e,y,t,c,b,y,w,p,n,y,p,-39.2991,-65.3116,3:43:41 PM
e,s,t,c,b,s,w,p,n,s,g,68.0893,-164.2662,11:22:14 AM
e,s,t,c,b,s,w,p,k,s,m,-31.1321,-136.8001,4:35:25 PM
e,y,t,c,b,y,w,p,k,y,g,1.266,153.685,9:44:56 AM
e,s,t,c,b,s,w,p,k,s,g,-33.8543,156.5468,11:24:05 AM
e,f,f,c,n,s,w,p,n,y,u,-2.5077,43.2628,11:03:28 AM
e,s,t,c,b,s,w,p,n,s,g,31.1101,-87.6562,4:23:14 PM
e,f,t,w,n,s,w,p,u,v,d,-76.4121,96.1011,8:45:50 AM
e,y,t,c,b,s,w,p,k,s,g,71.2275,-1.0461,6:52:22 AM
e,y,t,c,b,y,w,p,n,s,g,-24.7564,-171.5506,8:58:31 AM
e,y,t,c,b,s,w,p,k,n,m,25.9151,-66.741,3:48:07 PM
e,y,t,c,b,s,w,p,k,n,m,-74.5866,-74.2448,2:22:23 PM
e,y,t,c,b,s,w,p,n,s,g,1.399,159.6772,6:36:50 AM
e,y,t,c,b,s,w,p,n,n,m,-53.2015,-52.9902,4:41:53 PM
e,s,t,c,b,s,w,p,n,n,g,-47.6689,-172.6596,1:51:43 PM
p,y,t,c,n,s,w,p,n,v,u,-29.0548,4.0324,2:58:03 PM
e,f,f,c,n,s,w,p,n,y,u,0.5875,93.1186,4:48:05 PM
e,f,f,c,n,s,w,p,k,v,u,58.4615,39.7145,11:03:45 AM
e,s,t,c,b,s,w,p,n,s,m,-28.7906,21.8946,12:37:21 PM
e,y,t,c,b,y,w,p,k,s,p,-60.0737,85.0398,12:33:29 PM
p,y,t,c,n,s,w,p,k,s,g,16.904,-116.1526,11:04:32 AM
e,s,t,c,b,s,w,p,n,s,m,-80.5349,-5.2913,12:42:16 PM
e,f,f,c,n,s,w,p,k,v,u,74.3597,-148.4127,5:06:58 PM
e,y,t,c,b,s,w,p,n,n,g,17.281,-15.4677,6:29:28 AM
e,y,t,c,b,y,w,p,n,y,p,54.9774,6.9475,6:27:19 AM
e,f,f,w,b,f,w,e,k,s,g,-52.5546,92.7865,7:37:00 AM
e,s,t,w,n,s,w,p,n,v,d,-85.3351,-10.6538,7:57:48 AM
e,s,t,c,b,s,w,p,n,s,m,-34.7921,88.4913,10:47:04 AM
e,s,t,w,n,s,w,p,n,v,d,78.7204,68.089,8:04:57 AM
e,s,t,c,b,s,w,p,n,n,m,78.0307,-41.4546,12:03:49 PM
e,f,f,c,n,s,w,p,n,y,u,82.644,81.0409,10:22:48 AM
e,s,t,c,b,s,w,p,k,s,g,86.1304,-25.9143,5:00:04 PM
e,s,t,c,b,s,w,p,n,n,m,-84.1425,168.7687,4:29:25 PM
e,y,t,c,b,s,w,p,n,s,m,-25.9197,111.2736,5:04:03 PM
e,s,t,w,n,s,w,p,n,v,d,6.9363,-106.4193,6:26:53 AM
e,y,t,c,b,s,w,p,n,s,g,3.449,-168.837,11:54:51 AM
e,s,t,c,b,s,w,p,k,s,g,-56.6301,-31.6423,5:28:21 PM
e,s,t,c,b,s,w,p,k,n,g,-0.5085,-75.0641,10:27:59 AM
e,f,f,w,b,s,w,e,k,s,g,83.5798,39.8126,7:38:24 AM
e,y,t,c,b,y,w,p,k,y,p,7.5915,117.0569,10:53:50 AM
p,s,t,c,n,s,w,p,n,v,u,78.3504,-59.7761,6:54:30 AM
e,s,t,c,b,s,w,p,n,n,g,-3.5821,-176.1744,2:50:03 PM
e,s,t,c,b,s,w,p,k,s,m,63.4132,-124.6283,11:27:08 AM
e,y,t,c,b,s,w,p,n,n,g,-5.1228,141.9776,8:23:13 AM
e,y,t,c,b,s,w,p,k,n,g,7.2201,-144.2132,10:45:30 AM
e,s,t,c,b,s,w,p,k,s,g,-21.7249,127.9278,2:07:31 PM
e,s,t,c,b,s,w,p,k,n,m,65.7443,-165.0102,7:46:30 AM
e,f,t,w,n,s,w,p,n,v,d,-84.7464,-70.829,12:44:35 PM
e,f,f,c,n,s,w,p,n,y,u,-48.708,-131.0371,6:43:40 AM
e,y,t,c,b,y,w,p,n,s,g,83.8781,129.2466,11:45:01 AM
e,s,t,c,b,s,w,p,k,n,m,-11.1186,-35.3841,8:45:50 AM
e,s,t,c,b,s,w,p,k,s,g,84.1185,25.4466,10:25:26 AM
e,y,t,c,b,s,w,p,k,s,g,77.0503,-56.0102,9:23:54 AM
e,y,t,c,b,s,w,p,n,s,g,-44.7473,147.9474,2:04:50 PM
e,f,f,c,n,s,w,p,n,v,u,-69.9628,153.5286,11:40:23 AM
e,s,t,c,b,s,w,p,n,n,m,-14.3593,90.8052,7:51:56 AM
p,s,t,c,n,s,w,p,k,s,g,-56.955,147.6117,7:15:08 AM
e,y,t,c,b,y,w,p,n,s,g,-50.0702,67.6735,1:38:53 PM
e,f,t,w,n,s,w,p,n,v,d,43.1939,-163.3672,11:15:30 AM
e,y,t,c,b,s,w,p,k,n,m,0.1053,3.3546,7:03:08 AM
e,y,t,c,b,s,w,p,k,s,g,-35.5775,96.0922,2:45:08 PM
e,s,t,c,b,s,w,p,n,n,g,-6.5321,143.2995,4:49:16 PM
e,s,t,c,b,s,w,p,n,s,g,-47.3148,32.2591,12:19:28 PM
p,y,t,c,n,s,w,p,k,v,u,18.6102,156.6461,9:27:11 AM
e,s,t,c,b,s,w,p,n,n,g,61.6367,-25.8894,12:39:16 PM
e,f,f,c,n,s,w,p,k,y,u,-88.0683,110.0369,6:55:10 AM
p,y,t,c,n,s,w,p,k,s,u,-51.3101,172.6077,6:49:28 AM
e,y,t,c,b,y,w,p,n,y,p,-1.7174,-8.3006,6:42:19 AM
e,f,f,c,n,s,w,p,k,v,u,76.2512,14.9067,6:12:24 AM
e,s,t,c,b,s,w,p,n,n,g,11.9577,85.7156,4:24:23 PM
e,f,t,w,n,s,w,p,n,v,d,40.4495,-135.4233,4:21:40 PM
e,y,t,c,b,s,w,p,k,s,g,78.545,28.8535,1:47:01 PM
e,y,t,c,b,s,w,p,n,s,g,-56.4187,-66.6622,1:04:19 PM
e,y,t,c,b,y,w,p,k,s,g,11.621,172.5605,7:41:05 AM
e,y,t,c,b,y,w,p,k,s,p,37.2841,32.7388,10:38:29 AM
e,y,t,c,b,y,w,p,k,y,p,70.415,-171.4808,12:48:03 PM
e,s,t,c,b,s,w,p,k,s,g,4.5235,89.6793,9:18:27 AM
e,s,t,c,b,s,w,p,n,n,m,66.901,65.0984,11:11:30 AM
p,s,t,c,n,s,w,p,k,v,u,-60.7119,109.4873,1:01:20 PM
e,f,t,w,n,s,w,p,u,v,d,-59.4631,-14.6059,7:06:19 AM
e,s,t,c,b,s,w,p,n,s,g,47.1599,-62.0954,9:01:51 AM
e,s,t,w,n,s,w,p,u,v,d,17.0988,83.1158,10:39:53 AM
e,y,t,c,b,s,w,p,k,s,m,68.0351,-44.784,4:20:30 PM
e,y,t,c,b,y,w,p,k,y,p,77.3005,132.2568,8:50:37 AM
e,s,f,w,b,s,w,e,k,s,g,-15.2138,-2.9167,11:34:33 AM
e,y,t,c,b,y,w,p,n,y,g,-38.3397,-120.8865,12:04:02 PM
p,s,t,c,n,s,w,p,n,s,g,-15.2362,138.6428,2:55:35 PM
e,f,f,c,n,s,w,p,n,v,u,-71.6712,132.222,7:37:47 AM
e,y,t,c,b,s,w,p,n,s,m,28.6379,-106.1337,11:22:49 AM
e,s,t,c,b,s,w,p,n,s,g,-47.8671,-59.5089,9:49:41 AM
e,y,t,c,b,s,w,p,n,n,m,-2.668,-69.5071,4:51:43 PM
e,f,f,c,n,s,w,p,n,v,u,22.4649,-156.8522,2:17:38 PM
e,s,t,c,b,s,w,p,k,n,m,50.8604,67.34,9:50:08 AM
e,y,t,c,b,s,w,p,k,n,g,46.5968,121.9623,7:39:38 AM
e,y,t,c,b,s,w,p,n,n,m,-82.8585,-81.1215,4:26:03 PM
e,y,t,c,b,y,w,p,n,s,g,4.3684,-18.8066,6:07:18 AM
p,y,t,c,n,s,w,p,k,v,g,-42.7588,4.6378,2:09:22 PM
e,s,t,c,b,s,w,p,n,n,g,12.4562,-13.4374,9:39:12 AM
e,y,t,c,b,s,w,p,n,s,m,48.3887,-79.776,8:47:20 AM
e,f,t,w,n,s,w,p,u,v,d,57.7119,-123.8212,3:58:11 PM
e,f,f,c,n,s,w,p,k,v,u,84.0378,2.4979,11:58:57 AM
e,s,f,w,b,s,w,e,k,a,g,13.7827,165.3645,5:28:57 PM
e,y,t,c,b,s,w,p,n,s,m,21.7924,-36.1121,11:15:54 AM
e,s,t,c,b,s,w,p,n,s,m,-0.8941,37.5752,12:29:52 PM
p,y,t,c,n,s,w,p,k,s,u,-44.8416,-79.5461,11:03:25 AM
e,s,t,c,b,s,w,p,k,n,m,46.4549,-132.7347,12:13:38 PM
p,s,t,c,n,s,w,p,k,v,u,-18.2254,150.005,5:28:49 PM
e,y,t,c,b,s,w,p,n,s,g,3.559,117.6493,10:58:30 AM
e,y,t,c,b,s,w,p,n,n,m,39.1696,64.9339,7:24:58 AM
e,y,t,c,b,y,w,p,n,s,p,9.987,-34.8558,8:39:13 AM
e,y,t,c,b,y,w,p,n,s,p,8.2051,-54.5864,7:29:38 AM
e,y,t,c,b,y,w,p,n,y,g,-41.3166,-32.3461,1:16:32 PM
e,y,t,c,b,s,w,p,n,n,m,-17.8675,-79.1239,12:00:51 PM
e,f,f,w,b,s,w,e,k,s,g,19.0569,10.9586,4:57:02 PM
e,s,t,c,b,s,w,p,n,n,m,19.0151,74.4213,6:26:06 AM
p,y,t,c,n,s,w,p,n,s,g,77.6076,-0.1979,6:01:59 AM
e,y,t,c,b,s,w,p,n,n,m,-4.5724,108.6104,8:14:03 AM
e,f,f,c,n,s,w,p,n,v,u,10.4107,73.3241,2:30:41 PM
e,s,t,c,b,s,w,p,k,s,m,-65.8269,126.3416,1:20:21 PM
e,y,t,c,b,s,w,p,k,n,m,52.0061,143.693,8:02:48 AM
e,y,t,c,b,y,w,p,k,s,g,-82.7927,-68.7738,1:44:03 PM
e,y,t,c,b,s,w,p,k,s,m,38.3015,-48.7926,11:11:13 AM
e,y,t,c,b,s,w,p,k,s,g,55.7108,50.6041,4:08:29 PM
e,y,t,c,b,y,w,p,n,y,p,-63.2678,-174.2629,11:00:43 AM
e,f,f,c,n,s,w,p,n,y,u,68.9804,-16.341,12:39:20 PM
e,f,f,c,n,s,w,p,k,y,u,12.5256,-128.2638,8:50:37 AM
e,y,t,c,b,s,w,p,k,s,g,-57.705,95.7685,2:46:29 PM
e,s,t,c,b,s,w,p,k,s,m,-42.5327,-9.1714,3:03:24 PM
e,y,t,c,b,s,w,p,n,s,g,-31.6817,-122.15,4:18:26 PM
e,s,t,c,b,s,w,p,k,s,m,-87.2803,-123.581,6:15:00 AM
e,s,t,c,b,s,w,p,n,n,m,60.0411,-101.1527,7:20:39 AM
e,s,t,c,b,s,w,p,k,s,m,63.6324,-107.6796,6:55:01 AM
e,f,f,w,b,f,w,e,k,s,g,-61.7408,29.0544,4:19:16 PM
e,s,t,w,n,s,w,p,n,v,d,53.3243,-133.2582,6:39:08 AM
p,y,t,c,n,s,w,p,k,s,g,-47.3598,-162.11,1:21:36 PM
e,f,f,w,b,s,w,e,k,a,g,14.3829,-83.9758,6:04:10 AM
e,y,t,c,b,s,w,p,k,s,g,-62.0646,73.9728,1:49:59 PM
e,s,t,w,n,s,w,p,n,v,d,-49.0628,-145.978,1:02:37 PM
e,y,t,c,b,s,w,p,k,s,g,-77.2163,-88.3502,2:37:55 PM
e,y,t,c,b,s,w,p,k,s,g,-46.2644,-144.1805,2:27:28 PM
e,f,t,c,b,s,w,p,n,y,d,57.0053,-166.9034,5:05:36 PM
e,y,t,c,b,s,w,p,n,s,m,71.584,-59.3697,12:44:26 PM
e,s,t,c,b,s,w,p,n,n,m,-85.8282,-60.7531,1:36:10 PM
e,y,t,c,b,y,w,p,k,y,g,7.6837,65.0248,1:36:41 PM
e,f,f,w,b,s,w,e,n,s,g,-39.1379,-161.9546,10:20:45 AM
e,s,t,c,b,s,w,p,k,s,g,-58.1887,-113.0194,6:28:09 AM
p,y,t,c,n,s,w,p,n,v,g,63.5871,95.2056,1:41:46 PM
e,y,t,c,b,s,w,p,k,s,g,52.1695,-164.631,1:28:27 PM
e,f,t,w,n,s,w,p,n,v,d,-82.4527,3.2814,12:16:57 PM
e,s,t,c,b,s,w,p,n,n,g,-20.1733,70.1342,11:10:38 AM
p,y,t,c,n,s,w,p,k,v,u,44.346,42.1328,7:40:41 AM
e,s,t,w,n,s,w,p,n,v,d,-57.6344,178.9497,4:59:31 PM
e,y,t,c,b,s,w,p,k,n,m,24.9955,56.0129,8:13:01 AM
e,f,t,w,n,s,w,p,n,v,d,-76.7243,101.8041,12:31:06 PM
e,s,t,w,n,s,w,p,n,v,d,-32.6677,96.4795,12:56:28 PM
e,y,t,c,b,s,w,p,n,s,m,16.4257,-157.3161,10:37:09 AM
e,f,t,w,n,s,w,p,u,v,d,-9.4605,-168.5782,1:59:09 PM
e,s,t,c,b,s,w,p,k,s,g,-19.8113,-73.8813,7:31:17 AM
e,y,t,c,b,s,w,p,k,s,m,66.4381,29.1493,12:34:07 PM
e,y,t,c,b,y,w,p,n,s,p,-45.6614,-71.4285,9:09:34 AM
e,y,t,c,b,s,w,p,k,n,g,30.5753,25.7248,6:51:37 AM
e,s,t,c,b,s,w,p,n,s,m,-19.562,42.0131,12:26:52 PM
p,y,t,c,n,s,w,p,n,v,u,-85.9918,-178.6397,4:04:54 PM
e,s,t,c,b,s,w,p,k,n,g,-46.2064,-150.8121,11:16:04 AM
e,y,t,c,b,s,w,p,k,n,g,30.8362,-41.3135,7:09:46 AM
p,y,t,c,n,s,w,p,k,v,u,-66.8555,136.7693,1:08:51 PM
e,s,t,c,b,s,w,p,k,s,m,88.5286,172.6618,7:07:38 AM
e,y,t,c,b,s,w,p,n,n,m,-27.9865,-9.8249,1:23:14 PM
